Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy,Num Normals,CPU Utilization (%),Model Confidence,Precision,Recall,F1 Score,True Positives,False Positives,False Negatives,True Negatives
0.00624483,0.0131704,0.0143045,1,212,115.137,11.9418,1,1,1,212,0,0,0
0.009747,0.0440802,0.00849102,1,210,115.137,12.2877,1,1,1,210,0,0,0
0.00336161,0.000448382,0.0121592,1,212,115.137,12.2222,1,1,1,212,0,0,0
0.0119454,0.0174648,0.0270231,1,213,115.137,12.4825,1,1,1,213,0,0,0
0.00423556,0.000907664,0.00847454,1,207,115.137,12.5305,1,1,1,207,0,0,0
0.0124128,0.00664545,0.0285114,1,216,115.137,12.0882,1,1,1,216,0,0,0
0.00843778,0.000674546,0.0118456,1,208,115.137,12.1781,1,1,1,208,0,0,0
0.00367283,0.000540908,0.0104147,1,209,115.137,11.9347,1,1,1,209,0,0,0
0.0105424,0.0014626,0.0275902,1,215,115.137,11.8796,1,1,1,215,0,0,0
0.0119888,0.00117493,0.0128226,1,212,115.137,12.2719,1,1,1,212,0,0,0
0.00473794,0.00276721,0.012801,1,219,115.137,12.6265,1,1,1,219,0,0,0
0.00856766,0.00352018,0.0256273,1,211,115.137,12.0787,1,1,1,211,0,0,0
0.00595163,0.000972467,0.0102549,1,210,115.137,12.5008,1,1,1,210,0,0,0
0.00486359,0.00397834,0.0147039,1,212,115.137,12.5143,1,1,1,212,0,0,0
0.0126939,0.00218331,0.025956,1,208,115.137,12.14,1,1,1,208,0,0,0
0.00657685,0.0103854,0.00842347,1,210,115.137,12.4217,1,1,1,210,0,0,0
0.0169529,0.0103897,0.0294802,1,210,115.137,12.3913,1,1,1,210,0,0,0
0.00492921,0.00094669,0.00860947,1,206,115.137,11.999,1,1,1,206,0,0,0
0.0121344,0.0176513,0.0359791,1,210,115.137,12.2159,1,1,1,210,0,0,0
0.00718387,0.022007,0.00706177,1,209,115.137,12.2132,1,1,1,209,0,0,0
0.00345436,0.000436853,0.00692624,1,212,115.137,12.2494,1,1,1,212,0,0,0
0.00470164,0.00115543,0.0118558,1,214,115.137,11.6333,1,1,1,214,0,0,0
0.0121382,0.00135022,0.0259531,1,212,115.137,11.759,1,1,1,212,0,0,0
0.0131029,0.00969802,0.0112211,1,213,115.137,12.7238,1,1,1,213,0,0,0
0.00337291,0.00386572,0.00779286,1,208,115.137,12.3597,1,1,1,208,0,0,0
0.00649857,0.00141916,0.0217097,1,212,115.137,12.8732,1,1,1,212,0,0,0
0.00970446,0.00672289,0.0120666,1,210,115.137,11.9939,1,1,1,210,0,0,0
0.00399724,0.00536168,0.011533,1,212,115.137,12.1151,1,1,1,212,0,0,0
0.0126475,0.00135855,0.0273033,1,210,115.137,12.2119,1,1,1,210,0,0,0
0.00823652,0.0109879,0.0107732,1,209,115.137,12.2324,1,1,1,209,0,0,0
0.0136143,0.0139707,0.0245558,1,203,115.137,12.4438,1,1,1,203,0,0,0
0.00466902,0.0011116,0.00914497,1,212,115.137,12.5738,1,1,1,212,0,0,0
0.0122034,0.01636,0.0304366,1,211,115.137,12.0224,1,1,1,211,0,0,0
0.00752678,0.00500187,0.00949067,1,207,115.137,12.2339,1,1,1,207,0,0,0
0.00343926,0.00092821,0.00798177,1,215,178.027,11.8192,1,1,1,215,0,0,0
0.0105504,0.00174222,0.0271561,1,216,178.027,12.1723,1,1,1,216,0,0,0
0.0123113,0.00119459,0.0151517,1,211,178.027,12.1361,1,1,1,211,0,0,0
0.00402045,0.00234393,0.0101875,1,209,178.027,11.8809,1,1,1,209,0,0,0
0.0118298,0.00139968,0.0290821,1,207,178.027,12.2188,1,1,1,207,0,0,0
0.0059327,0.000680547,0.0106789,1,215,178.027,12.3317,1,1,1,215,0,0,0
