Preprocessing Time (s),Feature Extraction Time (s),Prediction Time (s),Accuracy
0.00392918,0.00293458,0.0179003,1
0.00387745,0.00281741,0.0173145,1
0.00429436,0.00314749,0.0182756,1
0.00411355,0.00299783,0.0233261,1
0.00263058,0.0020982,0.016262,1
0.00446326,0.00294432,0.0149234,1
0.00172636,0.00128371,0.00813247,1
0.00396181,0.00282345,0.0174074,1
0.00510414,0.00334068,0.0140389,1
0.00413691,0.00282131,0.0229424,1
0.0041999,0.003948,0.0234511,1
0.00434903,0.00278274,0.0236468,1
0.00522588,0.00377144,0.0234109,1
0.00497707,0.00364232,0.0238382,1
0.00422222,0.00301762,0.0112013,1
0.00395785,0.00279773,0.0173905,1
0.00428182,0.00276086,0.0176524,0.976744
0.00387667,0.00300885,0.0185264,1
0.0040529,0.00295817,0.0179962,1
0.0039507,0.00283952,0.017376,1
0.00418168,0.00286262,0.0185836,1
0.00413126,0.00290656,0.0177104,1
0.00404379,0.00285887,0.0182079,0.994253
0.00372936,0.00285829,0.0179326,1
0.00400707,0.00162774,0.00609065,1
0.00422429,0.00283265,0.0172364,1
0.00417908,0.0030627,0.0176637,1
0.0041556,0.00285846,0.017726,0.994186
0.00423314,0.00295941,0.0181035,1
0.00433881,0.00295492,0.0164067,1
0.00419691,0.00285105,0.0178469,0.97093
0.00417093,0.00292958,0.0182105,1
0.00434398,0.00393704,0.0202622,1
0.00429982,0.00291707,0.0180455,1
0.0043355,0.00377792,0.0176253,0.994186
0.00426336,0.0028433,0.0174398,1
0.00491358,0.00290872,0.017312,0.988166
0.00439831,0.00279514,0.0171812,0.994048
0.0044645,0.00304254,0.0183556,1
0.00425128,0.00302745,0.0110646,1
0.00410226,0.00282326,0.0170788,1
0.00424276,0.00302504,0.018219,0.99435
0.00425264,0.00282803,0.0171574,1
0.00409158,0.0030462,0.0184393,1
0.00410709,0.00288093,0.0176616,0.994152
0.00411052,0.00346437,0.0183638,1
0.00420952,0.00295819,0.0181876,1
0.00432564,0.00295087,0.0177845,0.994152
0.00401994,0.00284069,0.0176182,1
0.00375684,0.00276929,0.0173897,1
0.00446267,0.00283832,0.0215963,1
0.00205191,0.00144625,0.0141565,1
0.00431485,0.00271849,0.0169981,1
0.00409743,0.00286884,0.0182988,1
0.00419997,0.00297788,0.0181941,0.99435
0.00410694,0.00294577,0.0195448,0.988571
0.00131517,0.00104084,0.00571287,1
0.00387248,0.00280286,0.018084,1
0.00413927,0.00270542,0.0129734,1
0.003865,0.00287138,0.0176194,0.982759
0.00115732,0.000938439,0.00722146,1
0.00494919,0.00303664,0.0177266,1
0.00420245,0.00298173,0.0207355,0.988372
0.00234213,0.00173314,0.0117112,1
0.00149802,0.00114836,0.00677033,0.988827
0.00448871,0.00395271,0.019202,1
0.00429819,0.00362471,0.0177286,0.99422
0.00438682,0.0029372,0.0177654,1
0.00381217,0.00369143,0.0252853,1
0.0043143,0.00338055,0.0223122,1
0.00421217,0.00297403,0.023589,0.988636
0.00418883,0.00273507,0.0176248,1
0.00376816,0.00283798,0.0177243,1
0.00407305,0.00292365,0.0176956,0.994152
0.00419099,0.00289586,0.0176707,0.994118
0.00397395,0.00303914,0.0181107,1
0.00421902,0.00284509,0.0176636,1
0.00403672,0.00296001,0.017828,1
0.00391257,0.00297221,0.018069,0.99422
0.00417996,0.00294993,0.0181572,1
0.00416415,0.00295666,0.0181766,0.976608
0.00418761,0.00303967,0.0183915,1
0.00453689,0.00293839,0.0231263,1
0.00418353,0.00292861,0.0227287,1
0.00393292,0.00279306,0.0172932,1
0.00404328,0.00284838,0.0177099,1
0.0039811,0.00271415,0.0172678,1
0.00409401,0.00280155,0.0174103,1
0.00417858,0.00308586,0.0185929,1
0.00418372,0.00285855,0.0174916,1
0.00401997,0.00300088,0.0183926,0.994382
0.00412015,0.00307706,0.0179278,1
0.00445598,0.00291642,0.0177371,1
0.00442067,0.0031173,0.00744054,1
0.00444854,0.0028727,0.017349,1
0.00427031,0.00279691,0.0178326,1
0.00409889,0.00283545,0.0172358,0.988095
0.00437438,0.00300049,0.0187498,1
0.00465109,0.00304151,0.0167624,0.99422
0.0011099,0.000739056,0.00427044,1
0.00107744,0.000832673,0.00444675,1
0.00453568,0.00279591,0.0171854,1
0.00404318,0.00283673,0.0165856,0.994118
0.00409472,0.00301696,0.0178121,1
0.00389246,0.00274396,0.0175117,1
0.00391108,0.00269417,0.0108302,1
0.00450495,0.00305649,0.0178323,1
0.00401332,0.00295103,0.0183182,1
0.00434997,0.00293767,0.0176985,1
0.00372469,0.00281458,0.017493,1
0.003873,0.00279238,0.0177035,0.99422
0.00386192,0.00289717,0.0179717,0.994286
0.00395501,0.0027148,0.0174438,1
0.00386548,0.00275049,0.0177279,1
0.00383006,0.00287032,0.0178586,0.994286
0.00401141,0.0028557,0.0181403,1
0.0039588,0.00277131,0.0185613,1
0.00383331,0.00276823,0.0173154,1
0.00380744,0.00278296,0.0176471,1
0.0038363,0.0027964,0.0178672,1
0.00392621,0.00271242,0.0162987,1
0.00417921,0.00279626,0.0176194,1
0.00438508,0.00285839,0.0176022,1
0.00397796,0.00288748,0.0177937,0.994286
0.00408758,0.00286846,0.0177229,1
0.00463299,0.00285329,0.0181139,1
0.00391038,0.0029293,0.0175072,0.994186
0.00394979,0.00304291,0.0182171,1
0.00409062,0.00297679,0.0179982,0.99435
0.00421073,0.0034656,0.0180463,1
0.00403596,0.00297426,0.0179301,1
0.00408068,0.00292177,0.0181208,1
0.0040121,0.00288928,0.0174388,1
0.00483536,0.00289883,0.0175119,1
0.00415354,0.00401009,0.0180278,0.983146
0.00417824,0.00369842,0.017206,0.994083
0.00460864,0.00385792,0.0175762,1
0.00421405,0.0028198,0.0173712,1
0.00408477,0.00294717,0.0178004,1
0.00423318,0.00294307,0.0181963,1
0.00427064,0.00386421,0.0176157,0.99422
0.00410369,0.0029179,0.0178441,1
0.0040885,0.00397481,0.0180578,1
0.00433782,0.00371883,0.0180997,1
0.00433825,0.0027098,0.0170778,0.994012
0.00401417,0.00294245,0.0184068,1
0.00406061,0.00285165,0.0176044,1
0.00404922,0.00289732,0.017942,0.988636
0.00414569,0.00272728,0.0169918,1
0.00409752,0.00290259,0.0180994,1
0.00410274,0.0027057,0.0169503,1
0.00404916,0.0028537,0.0175914,1
0.00269803,0.00186765,0.0114598,1
0.00417424,0.00297722,0.0179356,1
0.00409024,0.00307524,0.0187328,1
0.00437664,0.00288088,0.0178862,1
0.0029559,0.00271698,0.0178454,1
0.00494409,0.00315835,0.0173625,0.982456
0.00397651,0.00292138,0.0179484,1
0.00431958,0.00301742,0.0200861,1
0.00311778,0.00269271,0.0182966,1
0.00421558,0.00290842,0.0180582,0.994286
0.00429317,0.00292603,0.0180742,0.982955
0.00428963,0.00287036,0.0217624,1
0.00446771,0.00295654,0.0234497,1
0.00432759,0.00258098,0.0099114,0.994152
0.00455691,0.00286369,0.0238502,0.988235
0.0043314,0.00282946,0.0187505,1
0.00419845,0.002855,0.0228375,1
0.00420804,0.00300655,0.0229886,1
0.00426427,0.00360394,0.0232562,0.993976
0.004195,0.0030047,0.0238551,1
0.0042161,0.00311394,0.02392,1
0.00548047,0.003755,0.0208492,1
0.00441555,0.00285671,0.0109155,1
0.00463091,0.00301552,0.0233203,1
0.00440081,0.00394573,0.0237872,1
0.00425296,0.00282923,0.0225827,1
0.00528015,0.00391608,0.0230805,1
0.00495673,0.00291463,0.0106753,0.994318
0.00465203,0.00282174,0.0176553,0.994186
0.00435452,0.00281291,0.0176728,1
0.00476647,0.00301097,0.0187748,1
0.00411292,0.00296035,0.0182755,1
0.00374654,0.0027435,0.0173741,1
0.00383576,0.00286478,0.0176916,1
0.00396624,0.00293765,0.0177134,1
0.0042591,0.00350132,0.0189098,0.99422
0.00407726,0.00280321,0.0172576,1
0.00399555,0.00284727,0.0175208,1
0.00435081,0.00292606,0.017493,0.982456
0.00376378,0.00293799,0.0184957,1
0.00375934,0.0027598,0.0176892,0.994253
0.0040171,0.00268983,0.017518,1
0.00434402,0.00272663,0.017685,1
0.00378551,0.00300935,0.0180932,0.994286
0.0039565,0.00289393,0.0179906,1
0.00390623,0.00292919,0.0180942,1
0.00401518,0.00283292,0.0175305,1
0.00385016,0.00287583,0.0179226,1
0.00395743,0.00288536,0.0174374,1
0.00393445,0.00293869,0.0181302,1
0.00391593,0.00287206,0.0178188,0.994286
0.00442684,0.00284783,0.0183783,1
0.00357835,0.00284979,0.017898,0.988372
0.00389238,0.00280212,0.0176908,1
